
20, 16, 02, 21, 13, 10, 14
12, 02, 08, 19, 28, 36, 01
45, 15, 46, 21, 24, 40, 13
37, 20, 22, 24, 16, 03, 42
38, 48, 14, 49, 24, 34, 27
44, 06, 37, 03, 38, 39, 48
27, 12, 42, 05, 23, 15, 46
06, 46, 44, 09, 01, 04, 27
31, 04, 24, 27, 15, 09, 45
16, 17, 48, 22, 28, 06, 45
38, 47, 25, 12, 14, 07, 15
14, 44, 09, 06, 35, 12, 11
30, 35, 32, 36, 25, 47, 46
42, 39, 23, 27, 12, 37, 05
35, 24, 36, 09, 01, 17, 42
32, 12, 37, 22, 44, 28, 20
06, 19, 38, 15, 42, 13, 34
10, 04, 03, 02, 23, 13, 12
34, 18, 35, 37, 49, 02, 33
08, 28, 46, 37, 36, 33, 04
03, 46, 37, 25, 02, 14, 10
39, 04, 26, 03, 18, 14, 40
